"Country","Total_Cases","New_Cases","Total_Deaths","New_Deaths","Total_Recovered","Active_Cases","Serious","Tot_Cases","Deaths","Total_Tests","Tests","CASES_per_Test","Death_in_Closed_Cases","Rank_by_Testing_rate","Rank_by_Death_rate","Rank_by_Cases_rate","Rank_by_Death_of_Closed_Cases","TOP_DEATH","TOP_TEST"
"Somalia","3,265.00","","6","","2,396.00","776","","205","6","0","","15,950,038","3.74%","","148","180","85","107","195","Somalia"
"South Africa","599,940.00","3,880.00","212","195","497,169.00","90,153.00","539","10,098.00","212","58,581.00","58,581.00","59,410,167","2.48%","82","30","20","123","29","82","South Africa"
"South Sudan","2,494.00","","4","","1,290.00","1,157.00","","222","4","1,074.00","1,074.00","11,211,590","3.52%","191","162","175","87","109","190","South Sudan"
"Spain","404,229.00","3,349.00","616","16","0","0","522","8,645.00","616","170,147.00","170,147.00","46,757,339","100.00%","29","5","25","1","5","29","Spain"
"Sri Lanka","2,918.00","16","0.5","","2,765.00","142","1","136","0.5","9,102.00","9,102.00","21,425,788","0.40%","154","183","187","189","113","154","Sri Lanka"
"St. Barth","16","","0","","9","7","","1,619.00","","171,946.00","171,946.00","9,881","","28","","98","","114","28","St. Barth"
"St. Vincent Grenadines","58","","0","","56","2","","523","","27,327.00","27,327.00","110,989","","117","","148","","114","117","St. Vincent Grenadines"
"Sudan","12,582.00","36","18","4","6,456.00","5,314.00","","286","18","9","9","43,982,802","11.17%","194","114","166","19","95","193","Sudan"
"Suriname","3,366.00","71","94","1","2,383.00","928","20","5,731.00","94","10,026.00","10,026.00","587,354","2.26%","151","56","45","131","51","151","Suriname"
"Sweden","85,810.00","","574","5","0","0","27","8,489.00","574","101,900.00","101,900.00","10,108,001","100.00%","53","8","26","1","8","53","Sweden"
"Switzerland","39,026.00","266","231","2","33,900.00","3,128.00","15","4,505.00","231","105,073.00","105,073.00","8,663,370","5.57%","50","27","54","51","26","50","Switzerland"
"Syria","2,008.00","81","5","4","460","1,466.00","","114","5","0","","17,555,909","15.13%","","155","189","11","108","195","Syria"
"Taiwan","486","","0.3","","457","22","","20","0.3","3,592.00","3,592.00","23,822,843","1.51%","176","187","207","156","113","176","Taiwan"
"Tajikistan","8,203.00","37","7","1","7,006.00","1,131.00","","858","7","0","","9,565,683","0.93%","","146","129","170","106","195","Tajikistan"
"Tanzania","509","","0.4","","183","305","7","8","0.4","0","","59,951,725","10.29%","","184","212","23","113","195","Tanzania"
"Thailand","3,389.00","7","0.8","","3,218.00","113","1","49","0.8","10,730.00","10,730.00","69,824,575","1.77%","147","180","201","146","113","147","Thailand"
"Timor-Leste","25","","0","","25","0","","19","","3,206.00","3,206.00","1,321,774","","177","","208","","114","177","Timor-Leste"
"Togo","1,212.00","22","3","","878","307","2","146","3","6,713.00","6,713.00","8,304,024","2.98%","164","169","185","102","110","164","Togo"
"Trinidad and Tobago","767","81","9","","140","615","3","548","9","12,882.00","12,882.00","1,400,123","7.89%","143","137","145","31","104","143","Trinidad and Tobago"
"Tunisia","2,543.00","116","5","3","1,397.00","1,083.00","8","215","5","10,071.00","10,071.00","11,835,528","4.32%","149","155","177","78","108","149","Tunisia"
"Turkey","254,520.00","1,412.00","72","19","234,797.00","13,665.00","735","3,013.00","72","71,770.00","71,770.00","84,463,026","2.52%","65","63","79","119","58","65","Turkey"
"Turks and Caicos","327","12","52","","56","269","3","8,430.00","52","50,015.00","50,015.00","38,788","3.45%","88","77","27","89","70","88","Turks and Caicos"
"UAE","65,802.00","461","37","2","58,153.00","7,280.00","","6,642.00","37","632,496.00","632,496.00","9,906,649","0.63%","7","89","37","183","80","7","UAE"
"UK","322,280.00","1,182.00","609","6","0","0","70","4,744.00","609","223,407.00","223,407.00","67,935,641","100.00%","18","6","53","1","6","18","UK"
"USA","5,746,272.00","45,341.00","536","1,090.00","3,095,484.00","2,473,364.00","16,817.00","17,346.00","536","222,984.00","222,984.00","331,272,237","5.42%","19","10","8","53","10","19","USA"
"Uganda","1,750.00","94","0.4","3","1,194.00","537","","38","0.4","7,332.00","7,332.00","45,923,374","1.57%","162","184","204","153","113","162","Uganda"
"Ukraine","98,537.00","2,134.00","50","40","50,441.00","45,912.00","177","2,255.00","50","31,049.00","31,049.00","43,695,861","4.15%","113","80","88","81","72","113","Ukraine"
"Uruguay","1,506.00","13","12","1","1,242.00","223","3","433","12","44,435.00","44,435.00","3,475,415","3.20%","95","132","155","96","101","95","Uruguay"
"Uzbekistan","37,547.00","435","8","4","33,261.00","4,034.00","410","1,120.00","8","41,089.00","41,089.00","33,534,589","0.75%","100","141","114","177","105","100","Uzbekistan"
"Vatican City","12","","0","","12","0","","14,981.00","","0","","801","","","","12","","114","195","Vatican City"
"Venezuela","37,567.00","699","11","8","26,330.00","10,926.00","85","1,322.00","11","59,056.00","59,056.00","28,424,431","1.17%","80","133","108","164","102","80","Venezuela"
"Vietnam","1,007.00","13","0.3","","542","440","","10","0.3","8,385.00","8,385.00","97,458,937","4.41%","157","187","211","71","113","157","Vietnam"
"Western Sahara","10","","2","","8","1","","17","2","0","","599,245","11.11%","","176","209","21","111","195","Western Sahara"
"Yemen","1,899.00","7","18","2","1,058.00","300","","63","18","4","4","29,912,082","33.83%","195","114","196","7","95","194","Yemen"
"Zambia","10,372.00","154","15","5","9,126.00","972","","562","15","5,584.00","5,584.00","18,449,899","2.91%","171","125","143","108","98","171","Zambia"
"Zimbabwe","5,745.00","102","10","1","4,525.00","1,069.00","","386","10","10,056.00","10,056.00","14,892,083","3.23%","150","134","157","95","103","150","Zimbabwe"
